slug,name,category,comment,url,phone,email,street,postcode,city,country,status,death_reason,operated_by,verified_source_url,verified_at,confidence,notes_curation,lat,lon,fidelity,geo_note
moens-vakhandel,Moens vakhandel,wood,"Selon David D., c'est facile pour demander différents bois, en taille et épaisseur, ils ajustent sur place, même en petite quantité.",https://moensvakhandel.be/,+3227595922,info@moensvakhandel.be,Leuvensesteenweg 658,1930,Nossegem,BE,active,,,https://www.goudengids.be/bedrijf/Zaventem/L1846414/Moens+Vakhandel/,2026-08-25,verified,"Own site live with current hours; site omits the address, so street sourced from Goudengids. VAT BE 0413.926.120.",50.876682,4.500456,exact,
carlier-bois,Carlier Bois,wood,Beaucoup de choix et des prix sur leur site.,http://www.carlier.be/,+3281250330,,Avenue Albert 1er 255,5000,Namur,BE,active,,,http://www.carlier.be/,2026-08-25,verified,"Phone '081/250 330' was mis-parsed into the street field by the extractor — corrected. MULTI-SITE: retail walk-in store in Namur (used here) + pro trade/showroom Rue du Fond du Maréchal 29, 5020 Suarlée, +3281250320.",50.468028,4.891758,exact,
bourguignon-bois,Bourguignon Bois,wood,Demande d'info par tel ou par formulaire. **pas encore de mail**,http://www.bourguignonbois.be/,+3210655566,info@bourguignonbois.be,Chemin de la Scierie 18,1457,Tourinnes-Saint-Lambert,BE,active,,,http://www.bourguignonbois.be/,2026-08-25,verified,"Source's 'Walhain, E411 sortie n°10' resolves to Tourinnes-Saint-Lambert, a village of Walhain commune, postcode 1457.",50.637062,4.719931,exact,
biemar-bois,Biemar bois,wood,,http://www.biemar.be/,+3243779494,info@biemar.be,Rue de la Clé 57,4630,Soumagne,BE,active,,,http://www.biemar.be/,2026-08-25,verified,"MULTI-SITE: Soumagne (main, used here) + Route de Waimes 90, 4960 Malmedy, +3280799797. VAT BE 0454.861.704.",50.617255,5.734725,exact,
roarockit-eu,Roarockit.eu,specialty-wood,"placage d'érable (Hard Maple) naturel, de couleur, ou bambou en 1.58 mm d'épaisseur de qualité supérieure.",https://www.roarockit.eu/,+33524723909,,23 rue du 503ème Régiment du Train,33127,Martignas-sur-Jalle,FR,active,,,https://annuaire-entreprises.data.gouv.fr/entreprise/roarockit-skateboard-europe-792785214,2026-08-25,verified,"NON-BELGIAN (France, SIREN 792785214, near Bordeaux). MAIL-ORDER first; the address is a warehouse the site invites visitors to, but no posted retail hours. Must not present as a Brussels-area walk-in.",44.840536,-0.776149,approximate,Street address incomplete — position resolved to postcode level.
pragma-plexy,pragma plexy,plastic,,http://www.pragma-plexi.be/,+3223770156,pragma.info@skynet.be,Paul Gilsonlaan 358,1620,Drogenbos,BE,active,,,https://www.heures.be/pragma-dm/drogenbos/1,2026-08-25,verified,"Address CONFIRMED unchanged. Own site 403s to automated fetch; address+phone corroborated by two directories and the CityFab1 consumables list. Email carried over from source, NOT re-verified — a skynet.be address is the kind that quietly dies.",50.797543,4.310141,exact,
urbia,Urbia,plastic,spécialiste maquettiste. Très bon retour des usagers.,https://www.urbia.be/,+3223458972,,Avenue Zaman 11,1190,Forest,BE,unknown,,,https://www.companyweb.be/en/0427524827/atelier-de-maquettisme-urbia,2026-08-25,unverified,"TROUBLE SIGNS, not confirmed closed. Atelier De Maquettisme Urbia SPRL (BE 0427.524.827) carries a juridical-incident flag, negative equity, FY2024 loss. urbia.be root now serves a domain-for-sale page though deep pages resolve; Pages d'Or flags 'faillite' while still listing hours. No bankruptcy judgment found in the Moniteur. A phone call settles it — not guessed.",50.810527,4.323890,exact,
plexy-reine,plexy reine,plastic,"Je les mentionne mais je n'ai eu que des mauvais retours, principalement sur leur désagréables services.",https://plexyreine.be/,+3222010610,info@plexyreine.be,Avenue de la Reine 131,1030,Schaerbeek,BE,active,,,http://plexyreine.be/,2026-08-25,verified,"Trading as Plexy Reine / New Plexy Concept. Street, phone and email were absent from the source and are newly added. Corroborated by the CityFab1 consumables list.",50.868569,4.363251,exact,
vink,vink,plastic,"gros fournisseurs, on est bien reçu sur place, mais je n'ai pas eu de réponse aux dernières demandes par mail et par téléphone, c'est les robots et mise en attente musicale et je n'ai pu joindre personne au final",https://www.myvink.be/,+3215259711,info@vink.be,Industriepark B-7,2220,Heist-op-den-Berg,BE,active,,,https://www.myvink.be/,2026-08-25,verified,URL CHANGED: fr.vink.be serves an invalid cert (covers only myvink.be) — effectively dead. Address and phone CONFIRMED unchanged. Entity now 'Vink BV'.,51.061385,4.730217,exact,
aludan,Aludan,metal,,http://www.aludan.be/fr/,+3223614640,info@aludan.be,Guido Gezellestraat 122,1654,Huizingen,BE,active,,,http://www.aludan.be/fr/contact/,2026-08-25,verified,"Own contact page gives address + staffed hours. Belgian, Flemish Brabant (Beersel), not Brussels city. Still on plain http.",50.754051,4.271329,exact,
dejond,Dejond,metal,,https://dejond.com/,+3238203511,Metals@dejond.com,Terbekehofdreef 55-59,2610,Wilrijk,BE,active,,,https://dejond.com/,2026-08-25,verified,"Dejond Metals NV, VAT BE 0818.310.311. B2B metal service centre, NOT confirmed as a retail counter — verify walk-in before presenting as a shop. Antwerp, ~45 km from Brussels.",51.158062,4.368955,exact,
hobby-alu,Hobby-alu,metal,,https://hobby-alu.be/,+3224105582,info@hobby-alu.be,Rue de Birmingham 32,1080,Molenbeek-Saint-Jean,BE,active,,,http://www.hobby-alu.be/,2026-08-25,verified,"Genuine walk-in shop, aluminium cut to size, since 1975, Click & Collect. URL updated to https without www. Site announces a future Trooz location — not open, not recorded.",50.848137,4.327726,exact,
aluminiumopmaatgemaakt,Aluminiumopmaatgemaakt,metal,"Attention: probablement 50€ de livraison; vu dans les com: As it should be, correct sizes and numbers. Picked up this time to avoid transport damage and costs (€ 50)",https://www.aluminiumopmaatgemaakt.be/,+3214752429,,,,,BE,active,,,https://www.aluminiumopmaatgemaakt.be/over-ons,2026-08-25,unverified,"MAIL-ORDER webshop, no shopfront. Collection points at Westmalle (BE) and Maasdijk (NL); site publishes no street for either, so address deliberately EMPTY. Legal entity and VAT not published.",,,,
gravierbedarf,Gravierbedarf,metal,"Tape chimique, réactif au laser, pour la gravure sur metal.",https://www.gravierbedarf.de/,,,,,,DE,active,,,https://www.gravierbedarf.de/,2026-08-25,unverified,"NON-BELGIAN (Germany) and MAIL-ORDER ONLY. Impressum address is a company/warehouse with no evidence of a counter, so deliberately EMPTY. Must not appear in a 'within 5 km of Brussels' result.",,,,
garnotec,Garnotec,cnc-bits,,https://www.garnotec.be/,+3214588620,,,,,BE,active,,,https://www.garnotec.be/contact,2026-08-25,unverified,"Garnotec bv, Benelux importer for CMT Orange Tools / GRN Tools. Their own contact page states there is NO physical storefront — Bospad 1, 2450 Meerhout is a warehouse with 24/7 pickup boxes for pre-paid orders. Address deliberately EMPTY. Email obfuscated on site; not recorded rather than guessed.",,,,
dehaye,Dehaye,cnc-bits,,https://en.dehaye.be/,+3225214749,,Rue Georges Moreau 57,1070,Anderlecht,BE,active,,,https://en.dehaye.be/contact,2026-08-25,verified,"URL CHANGED: www.dehaye.be 301s to en.dehaye.be. Cutting-tool specialist since 1943, VAT BE0401878720, open Mon-Fri at a Brussels address — strongest local candidate in its category. Contact form only, no public email.",50.836707,4.326744,exact,
cnc-fraises,CNC Fraises,cnc-bits,,https://www.cncfraises.fr/,,christophe@cncfraises.fr,,,,FR,active,,,https://www.cncfraises.fr/,2026-08-25,unverified,"NON-BELGIAN (France, Normandy) and MAIL-ORDER ONLY. Published address is a legal/dispatch address with no counter, ~550 km from Brussels — deliberately EMPTY.",,,,
finnvis,FixNvis,fasteners,,https://www.visseriefixations.fr/,,,,,,FR,active,,,https://annuaire-entreprises.data.gouv.fr/entreprise/cergy-vis-bricolis-fixnvis-950038612,2026-08-25,unverified,"Former name in the source list: FinNvis (a Fix->Fin typo). Trading as VisserieFixations.fr, operated by CERGY VIS, Saint-Ouen-l'Aumône. NAME IS A MANGLING: the site is VisserieFixations.fr, brand FixNvis (source's 'FinNvis' is a Fix->Fin typo), operated by CERGY VIS (SIREN 950038612), Saint-Ouen-l'Aumone. NON-BELGIAN (France), mail-order first. A trade counter reportedly exists but both official domains 403 automated fetches and two conflicting addresses circulate on third-party blogs — NOT guessed, left empty. 'active' rests on search indexing + 2026 review activity, not a direct fetch.",,,,
its-tools,ITS-Tools,fasteners,,https://its-tools.com/fr/,+3226405860,info@its-tools.eu,Rue du Printemps 39-43,1050,Ixelles,BE,active,,,https://www.europages.fr/INTERNATIONAL-TOOLS-SERVICE-SA-ITS/BEL008523-00101.html,2026-08-25,unverified,"URL CHANGED: its-tools.eu refuses connections (hard break, not a redirect) — this entry was broken for users. Trades as International Tools Service SA/NV on its-tools.com, 2500 m2 store in Ixelles. Their own site timed out on every fetch and /contact-us 404s, so street/phone are directory-sourced — held unverified. Email still on the old .eu domain; may not route, do not trust without a test.",50.820507,4.388625,exact,
fabory,Fabory,fasteners,"site belge, bcp de choix (mais) achat par boite",https://www.fabory.com/fr-BE/,+3227152148,,Leuvensesteenweg 472,1930,Zaventem,BE,active,,,https://www.heures.be/fabory,2026-08-25,unverified,"Belgian branch network alive (14 sites). MULTI-SITE, nearest walk-in counters to Brussels: Zaventem (used here) and Sint-Pieters-Leeuw, Petrus Basteleusstraat 2-4-6, 1600. Fabory's own store-finder 404s, so branch data is aggregator-sourced — unverified.",50.871540,4.473888,exact,
fablab-factory,Fablab Factory,electronics,,https://www.fablabfactory.com/,+32479445858,info@fablabfactory.com,Wijngaardveld 9,9300,Aalst,BE,active,,,https://www.fablabfactory.com/,2026-08-25,verified,"Alive contrary to expectation: live stock, VAT BE0700541423. NOT a Brussels shopfront — Aalst showroom BY APPOINTMENT ONLY, pickup Wednesdays 11:30-13:00. ~30 km from Brussels; will not satisfy a 'within 5 km' query.",50.960325,4.046620,exact,
mchobby,McHobby,electronics,,https://shop.mchobby.be/,+3223872478,,Clos de la Giberne 3,1410,Waterloo,BE,active,,,https://shop.mchobby.be/,2026-08-25,verified,"Existing address CONFIRMED current on their own site. Pickup available. Waterloo, ~15 km south of Brussels — outside a 5 km radius but genuinely walk-in.",50.690608,4.400837,exact,
exp-tech,Exp-Tech,electronics,"En Allemagne, rapide, prix correctes.",https://exp-tech.de/en,+4968196590150,,,,,DE,active,,,https://exp-tech.de/en/policies/legal-notice,2026-08-25,unverified,"NON-BELGIAN (Germany), MAIL-ORDER ONLY, no Belgian counter. EXP GmbH, Saarbrücken (HRB 18932). Shop RESTRICTED TO REGISTERED BUSINESS CUSTOMERS. Saarbrücken address is office/warehouse, not a confirmed customer-facing shop — deliberately EMPTY.",,,,
watterott,Watterott,electronics,"Germany, jamais encore commandé",https://shop.watterott.com/,,,,,,DE,active,,,https://shop.watterott.com/About-Us,2026-08-25,unverified,"NON-BELGIAN (Germany), MAIL-ORDER ONLY. Watterott electronic, Leinefelde (Thuringia), open-hardware retailer. Still trading but headcount reported as 1 (2026-05) — single-person operation, continuity risk worth re-checking. URL moved to shop.watterott.com.",,,,
cotubex,Cotubex,electronics,Pas très grand mais il offre un service de commande/dépôt.,http://www.cotubex.be/,+3226433666,mail@cotubex.be,Avenue des Saisons 100,1050,Ixelles,BE,active,,,http://www.cotubex.be/,2026-08-25,verified,"Address and phone CONFIRMED current on their own site. Real walk-in shop with in-store pickup, Ixelles near the university district — best genuine Brussels-local electronics entry. Site notes a summer 2026 closure period.",50.817971,4.388362,exact,
mouser,Mouser,electronics,,https://www.mouser.be/,+31881300700,belgium@mouser.com,,,,BE,active,,,https://www.mouser.be/contact/,2026-08-25,unverified,"GLOBAL DISTRIBUTOR, MAIL-ORDER, NO LOCAL COUNTER. mouser.be is a localised storefront only; Belgium is serviced from Eindhoven (NL). No Belgian address exists to give — deliberately EMPTY.",,,,
rs-components,RS,electronics,,https://befr.rs-online.com/,,,,,,BE,active,,,https://www.rsgroup.com/about-us/our-history/,2026-08-25,unverified,"Former name: RS Components. Parent RS Group plc (renamed from Electrocomponents), brand unification completed 2023. NAME CHANGED: customer-facing brand is now simply 'RS' (parent RS Group plc, renamed from Electrocomponents; brand unification completed 2023). 'RS Components' is legacy — NAME FIELD NOT CHANGED, operator decision. Global distributor, mail-order, no confirmed Belgian trade counter. Storefront timed out on fetch; status rests on corporate sources.",,,,
farnell,Farnell,electronics,,https://be.farnell.com/,+3234752810,benelux@farnell.com,,,,BE,active,,,https://www.companyweb.be/en/0451185503/farnell-belgium-,2026-08-25,unverified,"MAIL-ORDER ONLY, no walk-in counter. Farnell (Belgium) SA, BE0451.185.503, active; registered office De Kleetlaan 3, 1831 Machelen is a 2-FTE admin office, not customer-facing — address deliberately EMPTY. Their own contact page timed out twice; phone/email are search-index sourced, softer than the rest.",,,,
gotronic,GoTronic,electronics,,https://www.gotronic.fr/,,,,,,FR,active,,,https://www.gotronic.fr/,2026-08-25,unverified,"NON-BELGIAN (France) and MAIL-ORDER ONLY. Own site gives 35 ter Route Nationale, 08110 Blagny — held out of address fields, no walk-in shop advertised. Actively trading.",,,,
batterfly,batterfly,electronics,,https://www.batterfly.com/shop/en/,+390516468377,,,,,IT,active,,,https://www.batterfly.com/shop/en/,2026-08-25,unverified,"Source's bare 'Matériel de mesure' resolves to Batter Fly S.r.l., ITALIAN distributor of electronic test & measurement gear, VAT IT02235301203, Calderara di Reno (Bologna). NON-BELGIAN, B2B mail-order, no walk-in — address deliberately EMPTY. Email obfuscated on their site, not guessed.",,,,
berger,Berger,textile,Grand choix de tissus pas chers + mini rayon matériel de couture.,https://www.tissusameublementbruxelles.be/,+3225123113,info@tissu-berger.be,Rue de la Caserne 84,1000,Bruxelles,BE,active,,,https://www.tissusameublementbruxelles.be/en/contact,2026-08-25,verified,Trading walk-in shop. Own contact page gives NL form 'Kazernestraat 84' = Rue de la Caserne 84. Address normalized from the source's number-first '84 Rue de la Caserne 84'. URL http->https + www.,50.841513,4.341534,exact,
tissus-passion,Tissus Passion,textile,,https://www.passion-tissus.be/,+3225376527,aldexsprl@gmail.com,Chaussée de Waterloo 99,1060,Saint-Gilles,BE,active,,,https://www.passion-tissus.be/,2026-08-25,verified,"URL DISCOVERED (source had none): passion-tissus.be. Legal entity ALDEX BV, BE0413.062.820, active since 1973, registered address matches. Walk-in shop Mon-Sat. COMMUNE CORRECTED: Saint-Gilles, not 'Bruxelles'.",50.829084,4.344097,exact,
chien-vert,Chien Vert,textile,Très vaste choix.,https://www.chienvert.com,+3224115628,,Rue du Chien Vert 2,1080,Molenbeek-Saint-Jean,BE,active,,,https://www.brusselslife.be/fr/chien-vert-les-tissus,2026-08-25,verified,"Large walk-in fabric store, Mon-Sat. Legal name 'Les Tissus du Chien Vert'. COMMUNE CORRECTED to Molenbeek-Saint-Jean. PHONE CHANGED: the source's +32 2 523 24 94 appears in no current listing; two directories give 02/411.56.28 (a third gives ...54.39, likely a second line). chienvert.com 403s automated fetches, so the number is directory-sourced, not first-party. No email published.",50.855203,4.342462,exact,
ets-daniel-guiot,ETS Daniel Guiot,leather,Ouvert que le dimanche matin. Référence via cordonnier.,,+3225376570,danielguiot@msn.com,Rue Meyerbeer 145,1180,Uccle,BE,active,,,https://kbopub.economie.fgov.be/kbopub/toonondernemingps.html?ondernemingsnummer=568300234,2026-08-25,unverified,"Genuinely no website. KBO/BCE 0568.300.234 'Guiot, Daniel', sole proprietorship, ACTIVE, VAT-registered; NACE codes explicitly include retail of leather goods, confirming the category. CAVEAT: registry-active is not door-open — no published hours anywhere, one directory suggests Sunday-morning-only. WEAKEST 'active' in the whole list; phone call recommended before presenting as walk-in.",50.814664,4.340485,exact,
schleiper,Schleiper,paper,C'est cher mais c'est sans doute le plus grand choix de papier sur Bruxelles. Réduction possible si achat en quantité.,https://www.schleiper.com,,,Chaussée de Charleroi 149,1060,Saint-Gilles,BE,active,,,https://www.schleiper.com/welcome/adresse?lang=fr,2026-08-25,verified,"MAIN branch used here (>3000 m2, framing counter). MULTI-SITE: both source branches still trade and there are now THREE Brussels sites — 'BeCreative' Rue de l'Étang 63, 1040 and 'Factory' Rue de l'Étang 75, 1040. Chain of ~10 Belgian shops. NOTE: a suspected restructuring/insolvency was checked for specifically and NO evidence found — the only change since 2023 is the added third site. Phone left EMPTY rather than guessed: a number circulates in directories but was not on any Schleiper page actually loaded.",50.827834,4.354528,exact,
origami-shop,Origami Shop,paper,C'est LE magasin en ligne pour tous les passionnés d'origamis. Grands choix de livres et papiers spéciaux. Assez cher.,https://www.origami-shop.com/,+33950447396,contact@origami-shop.com,,,,FR,active,,,http://www.origami-shop.com/,2026-08-25,unverified,"NON-BELGIAN (France) and MAIL-ORDER ONLY. Own site gives 4 rue de l'Industrie, 38760 Varces-Allières-et-Risset — held out of address fields, no walk-in storefront. Actively trading.",,,,
engels-proservices,Engels ProServices,services,"Service de mise en peinture, laquage, etc...",http://www.engelsproservices.be/,,info@engelsproservices.be,Chemin de la Fontenelle 17,7090,Braine-le-Comte,BE,active,,,https://www.companyweb.be/fr/0453628121/engels-proservices,2026-08-25,verified,"MOVED out of Brussels: registered seat (BE 0453.628.121) is now Braine-le-Comte, not Anderlecht. Source's 'Quai d'Aa 1, 1070' survives only in stale directory listings, no registry backing — not carried over. Financial distress: 0 FTE, negative equity, 2025 net loss. Website unreachable (TLS cert mismatch), URL kept unconfirmed.",50.589551,4.157005,exact,
amd-metal,AMD metal,services,,,+3224147080,,Chaussée de Gand 503,1080,Molenbeek-Saint-Jean,BE,unknown,,,https://belgique.heures.info/commerce/amd/molenbeek-saint-jean,2026-08-25,unverified,"URL DEAD: www.amd.be is now a Nameshift domain-for-sale parking page — dropped rather than kept as a live link. Only evidence is aggregator listings of unknown freshness. No company site, no registry hit. A different metalworker (B.N.J.) also appears at this address. Most likely quiet death in its batch — treat as at-risk.",50.858705,4.313944,exact,
weerg,Weerg,services,"Weerg makes CNC parts from your CAD 3D file, simply, quickly, and with the top technologies in the world Service CNC métal",https://www.weerg.com/,+390415383540,info@weerg.com,,,,IT,active,,,https://www.weerg.com/,2026-08-25,unverified,"MAIL-ORDER ONLY, no walk-in. Online CNC/3D printing/laser service, factory near Venice, Italy (VAT IT04202870277). Address deliberately EMPTY.",,,,
atelier-cnc,Atelier CNC,services,,https://www.ateliercnc.com/,+3225800645,info@ateliercnc.com,Rue des Ateliers 7-9,1080,Molenbeek-Saint-Jean,BE,active,,,https://www.ateliercnc.com/,2026-08-25,verified,"Source had the WRONG street: Rue des Ateliers 7-9, not 'rue des artisans'. 350 m2 CNC/laser workshop, Mon-Fri, visits BY APPOINTMENT ONLY. Atelier CNC SRL, BE 0640.966.991.",50.857952,4.343900,exact,
deker-sprl,Deker sprl,services,,http://www.deker.be,+32475803508,info@deker.be,Rue des Gaulois 7A,7822,Meslin-l'Évêque,BE,active,,,http://www.deker.be,2026-08-25,verified,"MOVED: no longer Romont 38, 1547 Bever-Biévène — now Rue des Gaulois 7A, 7822 Meslin-l'Évêque (Ath), confirmed on their live site and matching registry seat (BE 0444.553.374). Email changed from the source's gmail to info@deker.be.",50.654655,3.852641,exact,
3dinthebox,3DInTheBox,services,,https://www.3dinthebox.eu/,+3223087798,info@3dinthebox.eu,Itterbeeksebaan 42,1700,Dilbeek,BE,unknown,,,https://www.goldenpages.be/company/Dilbeek/L14270481/3DINTHEBOX/,2026-08-25,unverified,"STOREFRONT CURRENTLY CLOSED: site serves a password-lock page — 'Due to illness and lack of staff, we are forced to temporarily close the store.' Company (BE 0757876044) still an active file, address/phone/email directory-confirmed, but trading status not confirmable today. Temporary or permanent unknown.",50.835570,4.262644,exact,
club-mate,Club Mate,drinks,,https://club-mate.be/,+3223155234,info@club-mate.be,,,,BE,active,,,https://club-mate.be/contact/,2026-08-25,unverified,"PERSONAL DATA REMOVED: the source's named private individual, their mobile and the bd Général Jacques address were a private pickup arrangement, not a retail point — dropped. Public channel instead: Lovibond Drinks SRL (BE 0673.522.864), exclusive Belgian Club-Mate importer. B2B/delivery, NOT a walk-in shop, so address deliberately EMPTY.",,,,
en-stoemelings,En Stoemelings,drinks,"Des bons copains, une très bonne bière, recommandation ++",http://enstoemelings.be/,,,,,,BE,closed,"Declared bankrupt end of 2024; brewery ceased. Commercial business taken over May 2025 by the Bières de Quartier project as a new entity, Pintjes, with the founders holding a minority stake.",,https://bx1.be/categories/news/en-stoemelings-cest-une-brasserie-qui-devient-une-marque-de-biere/,2026-08-25,verified,"THE BREWERY IS GONE. Their own site now leads with 'No more brewery' and redirects to pintjes.brussels. Curieuse Neus / Jawa / 1897 survive as BRANDS brewed under contract. Pintjes is a SUCCESSOR ENTITY, not the original supplier, and must not be substituted for it. Nothing to visit at rue Dieudonné Lefèvre 37; source phone/email dropped as non-operational. URL kept because the page itself carries the closure notice.",,,,
beer-project,Beer Project,drinks,"Faut leur commander et voir comment se faire livrer ou en allant chercher. Ils font un bon d'enlèvement et la facture est éditée, envoyée et payée par après, au tarif négocié. On a un tarif à 1€/bouteille htva + vidange.",https://beerproject.be/,,visitbbp@beerproject.be,Quai de Biestebroeck 23,1070,Anderlecht,BE,active,,,https://beerproject.be/pages/visit-us,2026-08-25,verified,"Brewery = BBP Port-Sud, Quai de Biestebroeck 23, 1070 Anderlecht (production + taproom), used as primary since the supplier interest is the brewery. MULTI-SITE: BBP Dansaert (rue Antoine Dansaert 188, 1000) still operating, plus BBP Bailli, Paris and Lille. BE 0511959367. PERSONAL DATA REMOVED: the two named staff and their personal work emails are not carried over; generic visitbbp@ used.",50.835025,4.317249,exact,
carlier-bois-suarlee,Carlier Bois (Suarlée),wood,,http://www.carlier.be/,+3281250320,,Rue du Fond du Maréchal 29,5020,Suarlée,BE,active,,carlier-bois,http://www.carlier.be/,2026-08-25,verified,"Branch of carlier-bois, split out per operator decision 2026-08-25 (one row per physical/geolocatable site). Address from the carlier-bois curation research, same source.",50.480657,4.780242,approximate,Street address incomplete — position resolved to postcode level.
